Name,Full Name,Datatype,Category,Units,Is Required,Default Value,Values,Requires,Required Value,Description
PARALLEL,Parallel,Flag,Parallel,None,No,FALSE,None,None,None,
PX,Parallel,Integer,Parallel,None,No,1,Positive Definite,PARALLEL,TRUE,
PY,Parallel,Integer,Parallel,None,No,1,Positive Definite,PARALLEL,TRUE,
nGlob,nGlob,Integer,Grid,None,Yes,None,Positive Definite,None,None,
mGlob,mGlob,Integer,Grid,None,Yes,None,Positive Definite,None,None,
CARTESIAN,Cartesian,Flag,Grid,None,Yes,TRUE,None,None,None,
DX,DX,Float,Grid,Meters,Yes,None,Positive Definite,CARTESIAN,TRUE,Spatial resolution in the x direction
DY,DY,Float,Grid,Meters,Yes,None,Positive Definite,CARTESIAN,TRUE,Spatial resolution in the y direction
StretchGrid,StretchGrid,Boolean,Grid,None,No,FALSE,None,CARTESIAN,FALSE,
DX_FILE,DX FILE,Path,Grid,None,Yes,None,None,StretchGrid,FALSE,
DY_FILE,DY_FILE,Path,Grid,None,Yes,None,None,StretchGrid,FALSE,
CORIOLIS_FILE,CORIOLIS_FILE,Path,Grid,None,Yes,None,None,StretchGrid,FALSE,
Lon_West,Lon_West,Float,Grid,degrees,Yes,None,"[-180,180]",StretchGrid,TRUE,
Lat_South,Lat_South,Float,Grid,degrees,Yes,None,"[-180,180]",StretchGrid,TRUE,
Dphi,Dphi,Float,Grid,degrees,Yes,None,Positive Definite,StretchGrid,TRUE,
Dtheta,Dtheta,Float,Grid,degrees,Yes,None,Positive Definite,StretchGrid,TRUE,
DEPTH_TYPE,DEPTH_TYPE,List,Bathymetry,None,No,FLAT,"[FLAT,DATA,SLOPE]",None,None,
DEPTH_FILE,DEPTH_FILE,Path,Bathymetry,None,Yes,None,None,DEPTH_TYPE,DATA,
DEPTH_FLAT,DEPTH_FLAT,Float,Bathymetry,Meters,No,10,Positive Definite,DEPTH_TYPE,"[FLAT,SLOPE]",
SLP,SLP,Float,Bathymetry,None,No,0.1,None,DEPTH_TYPE,SLOPE,
Xslp,Xlsp,Float,Bathymetry,Meters,No,0,Positive,DEPTH_TYPE,SLOPE,
BATHY_CORRECTION,BATHY_CORRECTION,Boolean,Bathymetry,None,No,FALSE,None,None,None,
WaterLevel,WaterLevel,Float,Bathymetry,Meters,No,0,None,None,None,
TOTAL_TIME,TOTAL_TIME,Float,Time,seconds,Yes,None,Positive Definite,None,None,
PLOT_START_TIME,PLOT_START_TIME,Float,Time,seconds,No,0,Positive Definite,None,None,
PLOT_INTV,PLOT_INTV,Float,Time,seconds,No,1,Positive Definite,None,None,
SCREEN_INTV,SCREEN_INTV,Float,TIme,seconds,No,1,Positive Definite,None,None,
INI_UVZ,INI_UVZ,Boolean,Hot Start,None,No,FALSE,None,None,None,
BED_DEFORMATION,BED_DEFORMATION,Boolean,Hot Start,None,No,FALSE,None,INI_UVZ,TRUE,
ETA_FILE,ETA_FILE,Path,Hot Start,None,Yes,None,None,INI_UVZ,TRUE,
U_FILE,U_FILE,Path,Hot Start,None,No,None,None,INI_UVZ,TRUE,
V_FILE,V_FILE,Path,Hot Start,None,No,None,None,INI_UVZ,TRUE,
MASK_FILE,MASK_FILE,Path,Hot Start,None,No,None,None,INI_UVZ,TRUE,
HotStartTime,HotStartTime,Float,Hot Start,seconds,No,0,Positive,INI_UVZ,TRUE,
OutputStartNumber,OutputStartNumber,Integer,Hot Start,None,No,1,Positive,INI_UVZ,TRUE,
