Name,Full Name,Datatype,Category,Units,Is Required,Default Value,Values,Requires,Required Value,Description
WAVEMAKER,WAVEMAKER,List,Wave Maker,None,No,None,"['LEF_SOL', 'WK_TIME', 'INI_SOL', 'N_WAVE', 'INI_REC', 'INI_GAU', 'INI_DIP', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'ABS', 'LEFT_BC_IRR']",None,None,
AMP,AMP,Float,Wave Maker,Meters,Yes,None,Positive Definite,WAVEMAKER,"['LEFT_SOL', 'INI_SOL', 'INI_REC', 'INI_GAU', 'INI_DIP']",
DEP,DEP,Float,Wave Maker,Meters,Yes,None,Positive Definite,WAVEMAKER,"['LEFT_SOL', 'INI_SOL']",
LAGTIME,LAGTIME,Float,Wave Maker,seconds,No,0,Positive,WAVEMAKER,['LEFT_SOL'],
NumWaveComp,NumWaveComp,Integer,Wave Maker,None,Yes,None,Positive,WAVEMAKER,['WK_TIME'],
PeakPeriod,PeakPeriod,Float,Wave Maker,1/seconds,Yes,None,Positive,WAVEMAKER,['WK_TIME'],
WaveCompFile,WaveCompFile,Path,Wave Maker,None,Yes,None,None,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_TIME', 'WK_NEW_DATA2D', 'WK_DATA2D'], 'DATA']",
Xc_WK,Xc_WK,Float,Wave Maker,meters,Yes,None,Positive,WAVEMAKER,"['WK_TIME', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'WK_NEW_IRR']",
Yc_WK,Yc_WK,Float,Wave Maker,meters,No,0,Positive,WAVEMAKER,"['WK_TIME', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'WK_NEW_IRR']",
DEP_WK,DEP_WK,Float,Wave Maker,meters,Yes,0,Positive,WAVEMAKER,"['WK_TIME', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'WK_NEW_IRR']",
Time_ramp,Time_ramp,Float,Wave Maker,seconds,No,0,Positive,WAVEMAKER,"['WK_TIME', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'WK_NEW_IRR']",
Delta_WK,Delta_WK,Float,Wave Maker,None,No,0.5,Positive Definite,WAVEMAKER,"['WK_TIME', 'WK_REG', 'WK_NEW_DATA2D', 'WK_DATA2D', 'WK_NEW_IRR']",
Ywidth_WK,Ywidth_WK,Float,Wave Maker,meters,No,LARGE,Positive,WAVEMAKER,"['WK_TIME', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'WK_NEW_IRR']",
SolitaryPositiveDirection,SolitaryPositiveDirection,Boolean,Wave Maker,None,No,TRUE,None,WAVEMAKER,['INI_SOL'],
XWAVEMARKER,XWAVEMAKER,Float,Wave Maker,Meters,Yes,None,Positive,WAVEMAKER,['INI_SOL'],
x1_Nwave,x1_Nwave,Float,Wave Maker,Meters,Yes,None,Positive,WAVEMAKER,['N_WAVE'],
x2_Nwave,x2_Nwave,Float,Wave Maker,Meters,Yes,None,Positive,WAVEMAKER,['N_WAVE'],
a0_Nwave,a0_Nwave,Float,Wave Maker,None,Yes,None,Positive,WAVEMAKER,['N_WAVE'],
gamma_Nwave,gamma_Nwave,Float,Wave Maker,None,Yes,None,Positive,WAVEMAKER,['N_WAVE'],
dep_Nwave,dep_Nwave,Float,Wave Maker,None,Yes,None,Positive Definite,WAVEMAKER,['N_WAVE'],
Xc,Xc,Float,Wave Maker,Meters,Yes,None,Positive,WAVEMAKER,"['INI_REC', , 'INI_GAU', 'INI_DIP']",
Yc,Yc,Float,Wave Maker,Meters,No,0,Positive,WAVEMAKER,"['INI_REC', 'INI_GAU', 'INI_DIP']",
WID,WID,Float,Wave Maker,None,Yes,None,None,WAVEMAKER,"['INI_REC', 'INI_GAU', 'INI_DIP']",
Tperiod,Tperiod,Float,Wave Maker,seconds,Yes,None,Positive Definite,WAVEMAKER,"['WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']",
AMP_WK,AMP_WK,Float,Wave Maker,meters,Yes,None,Positive Definite,WAVEMAKER,['WK_REG'],
Theta_WK,Theta_WK,Float,Wave Maker,None,No,0,None,WAVEMAKER,['WK_REG'],
FreqPeak,FreqPeak,Float,Wave Maker,Hertz,Yes,None,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']]",
FreqMin,FreqMin,Float,Wave Maker,Hertz,Yes,None,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']]",
FreqMax,FreqMax,Float,Wave Maker,Hertz,Yes,None,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']]",
Hmo,Hmo,Float,Wave Maker,Meters,Yes,None,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']]",
Nfreq,Nfreq,Integer,Wave Maker,None,No,45,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']]",
Ntheta,Ntheta,Integer,Wave Maker,None,No,24,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'JON_2D']]",
ThetaPeak,ThetaPeak,Float,Wave Maker,None,No,0,None,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'JON_2D']]",
Sigma_Theta,Sigma_Theta,Float,Wave Maker,None,No,10,Positive Definite,"['WAVEMAKER','WAVE_DATA_TYPE']","[['WK_IRR', 'JON_2D', 'WK_NEW_IRR'], ['WK_IRR', 'JON_2D']]",
alpha_c,alpha_c,Float,Wave Maker,None,No,0,Positive,WAVEMAKER,WK_NEW_IRR,
EqualEnergy,EqualEnergy,Boolean,Wave Maker,None,No,FALSE,None,WAVEMAKER,"['WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D']",
WAVE_DATA_TYPE,WAVE_DATA_TYPE,List,Wave Maker,None,No,None,"['ABS', 'DATA',  'TMA_1D', 'JON_1D', 'JON_2D'] ",WAVEMAKER,"['ABS', 'LEFT_BC_IRR']",
DepthWaveMaker,DepthWaveMaker,Float,Wave Maker,None,No,None,Positive Definite,WAVEMAKER,"['ABS', 'LEFT_BC_IRR']",
WidthWaveMaker,WidthWaveMaker,Float,Wave Maker,Meters,Yes,None,Positive Definite,WAVE_DATA_TYPE,ABS,
R_sponge_wavemaker,R_sponge_wavemaker,Float,Wave Maker,None,Yes,None,Positive Definite,WAVE_DATA_TYPE,ABS,
A_sponge_wavemaker,A_sponge_wavemaker,Float,Wave Maker,None,Yes,None,Positive Definite,WAVE_DATA_TYPE,ABS,
ETA_LIMITER,ETA_LIMITER,Boolean,Wave Maker,None,No,FALSE,None,WAVEMAKER,"['LEF_SOL', 'WK_TIME', 'INI_SOL', 'N_WAVE', 'INI_REC', 'INI_GAU', 'INI_DIP', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'ABS', 'LEFT_BC_IRR']",
CrestLimit,CrestLimit,Float,Wave Maker,Meters,Yes,None,Positive Definite,ETA_LIMITER,TRUE,
TroughLimit,TroughLimit,Float,Wave Maker,Meters,Yes,None,Positive Definite,ETA_LIMITER,TRUE,
WaveMakerCd,WaveMakerCd,Float,Wave Maker,None,No,None,None,WAVEMAKER,"['LEF_SOL', 'WK_TIME', 'INI_SOL', 'N_WAVE', 'INI_REC', 'INI_GAU', 'INI_DIP', 'WK_REG', 'WK_IRR', 'TMA_1D', 'JON_1D', 'JON_2D', 'WK_NEW_DATA2D', 'WK_DATA2D', 'ABS', 'LEFT_BC_IRR']",
PERODIC,PERODIC,Boolean,Boundary Conditions,None,No,FALSE,None,CARTESIAN,TRUE,
DIRECT_SPONGE,DIRECT_SPONGE,Boolean,Sponge Boundary Layer,None,No,FALSE,None,None,None,
DIFFUSION_SPONGE,DIFFUSION_SPONGE,Boolean,Sponge Boundary Layer,None,No,FALSE,None,None,None,
Csp,Csp,Float,Sponge Boundary Layer,None,No,0.1,Positive Definite,DIFFUSION_SPONGE,TRUE,
FRICTION_SPONGE,FRICTION_SPONGE,Boolean,Sponge Boundary Layer,None,No,FALSE,None,None,None,
CDsponge,CDsponge,Float,Sponge Boundary Layer,None,No,5,Positive Definite,FRICTION_SPONGE,TRUE,
Sponge_west_width,Sponge_west_width,Float,Sponge Boundary Layer,Meters,No,0,Positive,"['DIRECT_SPONGE', 'DIFFUSION_SPONGE', 'FRICTION_SPONGE']","[TRUE, TRUE, TRUE]",
Sponge_east_width,Sponge_east_width,Float,Sponge Boundary Layer,Meters,No,0,Positive,"['DIRECT_SPONGE', 'DIFFUSION_SPONGE', 'FRICTION_SPONGE']","[TRUE, TRUE, TRUE]",
Sponge_south_width,Sponge_south_width,Float,Sponge Boundary Layer,Meters,No,0,Positive,"['DIRECT_SPONGE', 'DIFFUSION_SPONGE', 'FRICTION_SPONGE']","[TRUE, TRUE, TRUE]",
Sponge_north_width,Sponge_north_width,Float,Sponge Boundary Layer,Meters,No,0,Positive,"['DIRECT_SPONGE', 'DIFFUSION_SPONGE', 'FRICTION_SPONGE']","[TRUE, TRUE, TRUE]",
R_sponge,R_sponge,Float,Sponge Boundary Layer,None,No,0.85,Positive Definite,"['DIRECT_SPONGE', 'DIFFUSION_SPONGE', 'FRICTION_SPONGE']","[TRUE, TRUE, TRUE]",
A_sponge,A_sponge,Float,Sponge Boundary Layer,None,No,5,Positive Definite,"['DIRECT_SPONGE', 'DIFFUSION_SPONGE', 'FRICTION_SPONGE']","[TRUE, TRUE, TRUE]",
OBSTACLE_FILE,OBSTACLE_FILE,Path,Obstacle and Breakwater,None,No,None,None,None,None,
BREAKWATER_FILE,BREAKWATER_FILE,Path,Obstacle and Breakwater,None,No,None,None,None,None,
BreakWaterAbsorbCoef,BreakWaterAbsorbCoef,Float,Obstacle and Breakwater,None,No,10,None,BREAKWATER_FILE,Defined,
DISPERSION,DISPERSION,Boolean,Physics,None,No,TRUE,None,None,None,
Gamma1,Gamma1,Float,Physics,None,No,1,Positive,None,None,
Gamma2,Gamma2,Float,Physics,None,No,1,Positive,CARTESIAN,TRUE,
Beta_ref,Beta_ref,Float,Physics,None,No,-0.531,None,"['CARTESIAN', 'ZALPHA']","[TRUE, TRUE]",
Gamma3,Gamma3,Float,Physics,None,No,1,Positive,CARTESIAN,TRUE,
FRICTION_MATRIX,FRICTION_MATRIX,Boolean,Physics,None,No,FALSE,None,None,None,
FRICTION_FILE,FRICTION_FILE,Path,Physics,None,Yes,None,None,FRICTION_MATRIX,TRUE,
Cd,Cd,Float,Physics,None,No,0,Positive,FRICTION_MATRIX,FALSE,
Time_Scheme,Time_Scheme,List,Numerics,None,No,Runge_Kutta,"['Runge_Kutta', 'Predictor_Corrector']",None,None,
CONSTRUCTION,CONSTRUCTION,List,Numerics,None,No,HLLC,None,None,None,
HIGH_ORDER,HIGH_ORDER,List,Numerics,None,No,FOURTH,"['FOURTH', 'THIRD']",None,None,
CFL,CFL,Float,Numerics,None,No,0.5,Positive Definite,None,None,
FIXED_DT,FIXED_DT,Boolean,Numerics,None,No,FALSE,None,None,None,
FroudeCap,FroudeCap,Float,Numerics,None,No,3,Positive Definite,None,None,
MinDepth,MinDepth,Float,Numerics,Meters,No,0.1,Positive Definite,None,None,
MinDepthFrc,MinDepthFrc,Float,Numerics,Meters,No,0.1,Positive Definite,None,None,
OUT_Time,OUT_Time,Boolean,Numerics,None,No,FALSE,None,None,None,
ArrTimeMin,ArrTimeMin,Float,Numerics,Meters,No,0.001,None,OUT_Time,TRUE,
NumberStations,NumberStations,Integer,Stations,None,No,0,Positive,None,None,
PLOT_INTV_STATION,PLOT_INTV_STATION,Float,Stations,seconds,No,1,Positive Definite,NumberStations,Positive Definite,
StationOutputBuffer,StationOutputBuffer,Integer,Stations,None,No,1000,Positive Definite,NumberStations,Positive Definite,
STATIONS_FILE,STATIONS_FILE,Path,Stations,None,Yes,None,None,NumberStations,Positive Definite,
ROLLER_EFFECT,ROLLER_EFFECT,Boolean,Wave Breaking,None,No,FALSE,None,None,None,
VISCOSITY_BREAKING,VISCOSITY_BREAKING,Boolean,Wave Breaking,None,No,TRUE,None,None,None,
SHOW_BREAKING,SHOW_BREAKING,Boolean,Wave Breaking,None,No,TRUE,None,None,None,
SWE_ETA_DEP,SWE_ETA_DEP,Float,Wave Breaking,None,No,0.8,None,VISCOSITY_BREAKING,FALSE,
Cbrk1,Cbrk1,Float,Wave Breaking,None,No,0.45,None,SHOW_BREAKING,TRUE,
Cbrk2,Cbrk2,Float,Wave Breaking,None,No,0.35,None,SHOW_BREAKING,TRUE,
WAVEMAKER_Cbrk,WAVEMAKER_Cbrk,Float,Wave Breaking,None,No,1,None,None,None,
WAVEMAKER_VIS,WAVEMAKER_VIS,Boolean,Wave Breaking,None,No,FALSE,None,None,None,
visbrk,visbrk,Float,Wave Breaking,None,Yes,None,None,WAVEMAKER_VIS,TRUE,
WAVEMAKER_visbrk,WAVEMAKER_visbrk,Float,Wave Breaking,None,Yes,None,None,WAVEMAKER_VIS,TRUE,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
