"#iterations","runtime(s)","min_dt","max_dt","W_MHD3D","min_dW","max_dW","sum_dW","normF_X1","normF_X2","normF_LA","X1_axis_0","X2_axis_0","X1_axis_1","X2_axis_1" 
  0.000000000000000E+00,  0.000000000000000E+00,  0.900000000000000E+00,  0.900000000000000E+00,  0.889774208598089E+03,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.180802863701356E-02,  0.181127856339229E-02,  0.881069381382804E-05,  0.100000000000000E+02,  0.000000000000000E+00,  0.100000000000000E+02,  0.000000000000000E+00
  0.100000000000000E+01,  0.600000000000000E-01,  0.900000000000000E+00,  0.900000000000000E+00,  0.889774208598089E+03, -0.222131802388503E-03, -0.222131802388503E-03, -0.222131802388503E-03,  0.180802863701356E-02,  0.181127856339229E-02,  0.881069381382804E-05,  0.100000000000000E+02,  0.000000000000000E+00,  0.100000000000000E+02,  0.000000000000000E+00
  0.200000000000000E+01,  0.380000000000000E+00,  0.810000000000000E+00,  0.810000000000000E+00,  0.889773986466287E+03, -0.744240338690361E-04, -0.744240338690361E-04, -0.744240338690361E-04,  0.935475821720983E-03,  0.922411941147991E-03,  0.182911984703371E-03,  0.999999639608143E+01,  0.000000000000000E+00,  0.999999639608143E+01,  0.000000000000000E+00
  0.400000000000000E+01,  0.102000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773906606212E+03, -0.730806050341926E-06, -0.730806050341926E-06, -0.730806050341926E-06,  0.643628880087555E-04,  0.454708069100910E-04,  0.152233656576914E-03,  0.100000194767275E+02,  0.000000000000000E+00,  0.100000194767275E+02,  0.000000000000000E+00
  0.800000000000000E+01,  0.155000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773903192841E+03, -0.125066208056523E-05, -0.309809365717229E-06, -0.466403389509651E-05,  0.558055787227061E-04,  0.311809936731404E-04,  0.120881359506059E-03,  0.100000639182612E+02,  0.000000000000000E+00,  0.100000639182612E+02,  0.000000000000000E+00
  0.160000000000000E+02,  0.234000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773888730671E+03, -0.216410194298078E-05, -0.309809365717229E-06, -0.200382197590443E-04,  0.863915705334671E-04,  0.573695645144322E-05,  0.231801184165361E-03,  0.100002737941652E+02,  0.000000000000000E+00,  0.100002737941652E+02,  0.000000000000000E+00
  0.320000000000000E+02,  0.399000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773851347368E+03, -0.240876829593617E-05, -0.309809365717229E-06, -0.575989502067387E-04,  0.697890165016933E-04,  0.856274767939147E-05,  0.178331227970955E-03,  0.100008617485666E+02,  0.000000000000000E+00,  0.100008617485666E+02,  0.000000000000000E+00
  0.640000000000000E+02,  0.000000000000000E+00,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773774243187E+03, -0.277873652976268E-05, -0.309809365717229E-06, -0.135141762029889E-03,  0.542344753960484E-04,  0.103624430477815E-04,  0.124312618455935E-03,  0.100022683689652E+02,  0.000000000000000E+00,  0.100022683689652E+02,  0.000000000000000E+00
  0.100000000000000E+03,  0.213000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773674440779E+03, -0.292860022454988E-05, -0.309809365717229E-06, -0.234440065923991E-03,  0.360141847007617E-04,  0.673983176921369E-05,  0.726123123004737E-04,  0.100048430253064E+02,  0.000000000000000E+00,  0.100048430253064E+02,  0.000000000000000E+00
  0.200000000000000E+03,  0.373000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773605199386E+03, -0.222790890802571E-05, -0.906700279301731E-07, -0.670574302148452E-04,  0.601292639627211E-05,  0.107745852650298E-05,  0.951406343105577E-05,  0.100097465995995E+02,  0.000000000000000E+00,  0.100097465995995E+02,  0.000000000000000E+00
  0.300000000000000E+03,  0.521000000000000E+01,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773601831733E+03, -0.884394921740750E-07, -0.826912582851946E-08, -0.328525266013457E-05,  0.693500232430017E-06,  0.237163466356307E-06,  0.337911796674540E-05,  0.100115218710551E+02,  0.000000000000000E+00,  0.100115218710551E+02,  0.000000000000000E+00
  0.400000000000000E+03,  0.330000000000000E+00,  0.656100000000000E+00,  0.656100000000000E+00,  0.889773601450977E+03, -0.811701283964794E-08, -0.131649358081631E-08, -0.373803459297051E-06,  0.312193788095457E-06,  0.828754178832178E-07,  0.155746657865091E-05,  0.100121012308598E+02,  0.000000000000000E+00,  0.100121012308598E+02,  0.000000000000000E+00
