PlaneNumber   SnapshotNumber   Redshift   LensPlanePostion[Mpc/h]   SliceLowerBound[Mpc/h]   SliceUpperBound[Mpc/h]
0    0   127.0000   9606.471750440527   9493.326095593931   10287.37670847940
1    1    79.9979   9333.970383458632   9190.309139273498   9493.326095593931
2    2    49.9996   8987.220537087157   8793.611801377963   9190.309139273498
3    3    30.0001   8512.644408584828   8312.755006605346   8793.611801377963
4    4    19.9157   8044.388169720778   7990.370426225598   8312.755006605346
5    5    18.2437   7932.871165643587   7877.280571614694   7990.370426225598
6    6    16.7245   7818.155373783480   7760.996940133049   7877.280571614694
7    7    15.3431   7700.254520426390   7641.529983536950   7760.996940133049
8    8    14.0859   7579.175158117404   7518.893041320287   7641.529983536950
9    9    12.9408   7454.938087967831   7393.089275479996   7518.893041320287
10   10   11.8966   7327.526463250078   7264.142099073748   7393.089275479996
11   11   10.9439   7197.008764756786   7132.072478721377   7264.142099073748
12   12   10.0735   7063.352444394417   6996.904768960352   7132.072478721377
13   13    9.2779   6926.645458367758   6858.695390350150   6996.904768960352
14   14    8.5499   6786.908674987539   6717.482913748945   6858.695390350150
15   15    7.8832   6644.200259282549   6573.338444805834   6717.482913748945
16   16    7.2722   6498.605470155301   6426.320980310910   6573.338444805834
17   17    6.7116   6350.153870736418   6276.483304236861   6426.320980310910
18   18    6.1968   6198.923895358620   6123.948935486477   6276.483304236861
19   19    5.7239   6045.088683604270   5968.804380698948   6123.948935486477
20   20    5.2888   5888.638608915001   5811.147291416501   5968.804380698948
21   21    4.8884   5729.789661496748   5651.149843791330   5811.147291416501
22   22    4.5196   5568.665210503729   5488.917014669968   5651.149843791330
23   23    4.1795   5405.349798828987   5324.590732584744   5488.917014669968
24   24    3.8657   5240.048126531943   5158.353183210809   5324.590732584744
25   25    3.5759   5072.917265388438   4990.393278065086   5158.353183210809
26   26    3.3081   4904.180559372389   4820.916979122197   4990.393278065086
27   27    3.0604   4734.024516614943   4650.162621110255   4820.916979122197
28   28    2.8312   4562.743383438536   4478.381410902886   4650.162621110255
29   29    2.6189   4390.540925446175   4305.760150015368   4478.381410902886
30   30    2.4220   4217.585182542797   4132.637811654568   4305.760150015368
31   31    2.2395   4044.399192450613   3959.321341315874   4132.637811654568
32   32    2.0700   3871.055593590191   3786.072947389715   3959.321341315874
33   33    1.9126   3698.020141520325   3613.274551022000   3786.072947389715
34   34    1.7663   3525.583359837233   3441.288810764429   3613.274551022000
35   35    1.6303   3354.183986474605   3270.385426186167   3441.288810764429
36   36    1.5036   3183.910164171477   3100.928827220531   3270.385426186167
37   37    1.3857   3015.419568520669   2933.341279480125   3100.928827220531
38   38    1.2758   2848.882528655484   2767.963180914704   2933.341279480125
39   39    1.1734   2684.818490908790   2605.200770131172   2767.963180914704
40   40    1.0779   2523.512422456524   2445.283585560595   2605.200770131172
41   41    0.9887   2365.134729888999   2288.597444483312   2445.283585560595
42   42    0.9055   2210.296188928014   2135.441109609930   2288.597444483312
43   43    0.8277   2058.967574186631   1986.012351805067   2135.441109609930
44   44    0.7550   1911.583437007423   1840.712788098954   1986.012351805067
45   45    0.6871   1768.509731080722   1699.760836072385   1840.712788098954
46   46    0.6236   1629.811131902374   1563.276806507144   1699.760836072385
47   47    0.5642   1495.665705097580   1431.394235592400   1563.276806507144
48   48    0.5086   1366.161017561910   1304.274421094668   1431.394235592400
49   49    0.4566   1241.534417024490   1181.997884647475   1304.274421094668
50   50    0.4079   1121.705422628611   1064.563312593998   1181.997884647475
51   51    0.3623   1006.754662295159   952.1461605430637   1064.563312593998
52   52    0.3197   896.9548146342527   844.7330793842696   952.1461605430637
53   53    0.2798   792.0007822828379   742.2437922044812   844.7330793842696
54   54    0.2425   692.0425920636066   644.5342363936216   742.2437922044812
55   55    0.2075   596.6375241510481   551.6773639989473   644.5342363936216
56   56    0.1749   506.3834177935248   463.7065748175339   551.6773639989473
57   57    0.1444   420.7408358864054   380.3330398050891   463.7065748175339
58   58    0.1159   339.6762193972718   301.5067234693886   380.3330398050891
59   59    0.0893   263.1233520091768   227.1461230824900   301.5067234693886
60   60    0.0645   190.9857860788333   157.1407575352080   227.1461230824900
61   61    0.0414   123.1393748266407   91.35371796711304   157.1407575352080
62   62    0.0199   59.43482507921530   29.77353890348970   91.35371796711304
63   63    0.0050   14.9                0.                  29.77353890348970
